prefix	equation
* (+ 3 6) 8	what is 3 added with six times eight?
- (/ 7 10) 3	I want to calculate 7 / ten - 3?
+ (* 6 3) 4	what is six times three added with 4?
- (+ 8 2) 4	I want to calculate eight added with 2 minus four?
* (* 10 9) 9	How many is ten multiplied by 9 times nine?
- (+ 6 10) 3	How many is 6 plus 10 minus three?
+ (* 8 1) 5	How many is eight * one plus five?
* (- 4 10) 10	what is four - ten * ten?
+ (/ 6 9) 5	I would like to know what is six divided by 9 added with five?
* (- 8 8) 10	I would like to know what is 8 - eight multiplied by ten?
* (/ 9 9) 3	How many is nine divided by 9 times three?
- (+ 4 6) 2	How many is four + 6 extracted by two?
- (- 9 7) 1	I want to calculate nine - 7 minus 1?
- (/ 8 9) 8	I want to calculate 8 / nine - 8?
/ (/ 8 9) 4	what is eight divided by 9 divided by four?
* (* 1 9) 5	I want to calculate 1 * 9 * 5?
/ (/ 2 8) 9	what is 2 / eight / nine?
* (/ 6 5) 2	I want to calculate 6 / five * 2?
- (+ 2 5) 10	How many is 2 plus 5 minus 10?
* (* 6 10) 2	I want to calculate six times ten multiplied by two?
/ (- 7 4) 7	I want to calculate seven extracted by four divided by 7?
- (/ 2 10) 3	what is 2 divided by ten minus three?
+ (- 3 8) 3	what is 3 - 8 plus 3?
/ (* 4 9) 1	I want to calculate four multiplied by nine / one?
- (+ 6 9) 4	I want to calculate 6 added with nine extracted by 4?
- (* 9 5) 1	How many is nine multiplied by 5 extracted by 1?
- (+ 2 2) 8	I would like to know what is 2 plus 2 extracted by eight?
+ (+ 9 1) 2	I would like to know what is 9 plus one plus two?
+ (+ 2 3) 1	what is two plus three added with 1?
/ (+ 7 2) 5	How many is 7 + two divided by 5?
/ (+ 2 6) 2	what is two added with six divided by 2?
+ (+ 2 3) 5	How many is 2 plus three plus 5?
* (- 2 5) 8	what is 2 - 5 * 8?
* (* 1 4) 9	I would like to know what is one times four * 9?
+ (* 10 3) 9	I would like to know what is ten * three added with 9?
/ (- 10 9) 10	I would like to know what is 10 - 9 divided by 10?
* (* 3 2) 7	what is three multiplied by 2 * 7?
* (* 7 10) 3	what is 7 * 10 * three?
+ (* 6 2) 2	what is 6 times 2 added with two?
- (* 7 8) 9	what is 7 * 8 extracted by nine?
/ (- 2 4) 3	I would like to know what is two extracted by four divided by three?
* (+ 6 1) 2	I would like to know what is six added with one multiplied by 2?
- (- 6 3) 5	I want to calculate six minus three - five?
/ (/ 7 8) 10	How many is 7 / eight / 10?
* (/ 1 5) 6	I want to calculate one divided by five multiplied by six?
- (/ 1 6) 7	what is one / 6 extracted by 7?
* (+ 4 9) 10	How many is 4 + nine multiplied by 10?
* (* 5 4) 7	How many is five * 4 times seven?
+ (/ 8 9) 7	I would like to know what is eight divided by 9 added with seven?
/ (+ 7 8) 7	I would like to know what is seven + eight / 7?
/ (+ 6 3) 1	I would like to know what is 6 added with three / 1?
+ (* 3 4) 5	what is 3 * four added with 5?
* (/ 8 5) 9	I would like to know what is eight / five * nine?
+ (* 9 2) 1	I want to calculate 9 multiplied by two plus one?
+ (- 6 6) 8	I would like to know what is 6 minus six + 8?
+ (* 7 4) 1	How many is seven * 4 plus 1?
* (+ 7 8) 6	what is 7 added with eight * six?
* (/ 3 1) 1	I want to calculate three / 1 multiplied by 1?
- (* 2 7) 10	How many is two * seven minus 10?
/ (* 2 8) 7	what is 2 * 8 / 7?
- (+ 4 3) 6	I want to calculate four plus three minus 6?
- (- 5 2) 5	How many is five minus two - five?
- (/ 1 6) 8	How many is 1 divided by six extracted by 8?
- (+ 10 8) 9	I want to calculate 10 plus eight extracted by 9?
/ (- 9 8) 9	How many is 9 minus eight / nine?
* (/ 6 2) 4	what is six divided by two multiplied by four?
+ (/ 7 4) 8	I want to calculate seven / four added with 8?
/ (/ 8 2) 8	I want to calculate 8 / 2 / eight?
+ (+ 8 2) 5	How many is 8 added with 2 + five?
* (- 9 4) 10	what is nine - four multiplied by ten?
* (/ 10 4) 3	I would like to know what is ten divided by 4 times three?
/ (* 6 1) 3	How many is six multiplied by 1 divided by 3?
/ (* 6 1) 3	what is six * 1 / three?
/ (* 9 10) 9	what is 9 * ten divided by nine?
* (* 7 8) 9	what is 7 * 8 * 9?
/ (- 6 2) 8	How many is six - 2 divided by 8?
- (+ 9 9) 1	what is nine + 9 extracted by 1?
+ (* 2 3) 9	what is 2 * 3 added with 9?
* (* 3 5) 6	How many is three multiplied by 5 * six?
/ (+ 7 9) 1	I want to calculate 7 plus 9 divided by one?
/ (+ 10 2) 6	what is ten added with two / 6?
* (/ 9 10) 1	I want to calculate 9 / 10 * 1?
- (/ 9 3) 9	How many is nine / three minus 9?
+ (+ 6 8) 6	what is six added with 8 + 6?
/ (+ 10 10) 5	How many is 10 plus 10 divided by five?
* (- 5 7) 9	what is 5 extracted by seven * nine?
* (* 8 5) 7	what is eight * 5 * 7?
* (* 10 5) 4	I want to calculate ten times 5 multiplied by 4?
- (/ 5 2) 6	I want to calculate five / two - six?
/ (* 10 5) 3	I want to calculate 10 * five / 3?
+ (* 1 2) 5	I want to calculate one times two + five?
/ (* 3 5) 8	I would like to know what is 3 times 5 / eight?
+ (+ 2 5) 6	I would like to know what is 2 plus 5 plus 6?
* (+ 9 9) 8	I would like to know what is 9 added with nine * eight?
/ (/ 9 10) 7	I want to calculate nine divided by 10 / 7?
* (- 10 5) 3	what is 10 minus 5 times 3?
/ (/ 1 7) 7	what is one / 7 / 7?
+ (* 5 7) 6	How many is five multiplied by seven plus six?
* (- 2 10) 1	I would like to know what is 2 minus ten * one?
- (+ 8 9) 3	what is eight added with 9 extracted by 3?
+ (* 4 7) 7	what is four multiplied by seven plus seven?
/ (/ 7 3) 6	How many is 7 divided by three / six?
* (+ 5 3) 7	what is 5 plus three multiplied by seven?
+ (+ 9 8) 9	How many is nine added with 8 + 9?
+ (* 3 10) 2	I would like to know what is three * ten + 2?
- (- 5 5) 4	I would like to know what is five extracted by 5 - 4?
+ (/ 9 7) 5	I would like to know what is 9 divided by seven plus 5?
+ (- 9 2) 5	I would like to know what is 9 - 2 added with five?
* (* 1 3) 9	How many is one * 3 * nine?
/ (+ 8 6) 4	I would like to know what is 8 added with six / four?
+ (- 10 3) 3	I want to calculate 10 minus 3 + three?
* (* 1 8) 7	I would like to know what is 1 times 8 * seven?
* (/ 8 8) 6	I would like to know what is 8 / 8 * six?
- (- 2 2) 2	what is two - 2 - 2?
+ (- 5 5) 3	How many is 5 extracted by 5 + three?
+ (+ 6 10) 10	what is 6 added with ten added with 10?
* (/ 2 10) 10	what is 2 / 10 * 10?
/ (+ 2 8) 9	How many is two plus 8 divided by 9?
/ (* 8 6) 8	what is 8 multiplied by 6 divided by eight?
* (+ 10 3) 10	How many is 10 + 3 multiplied by ten?
* (- 6 4) 5	what is 6 - 4 multiplied by 5?
/ (* 8 10) 2	How many is 8 * 10 divided by 2?
+ (* 8 1) 8	I want to calculate eight multiplied by 1 + eight?
* (* 2 6) 9	I want to calculate 2 multiplied by 6 * nine?
* (+ 6 3) 4	I would like to know what is 6 added with three multiplied by four?
* (+ 2 1) 3	How many is two plus 1 multiplied by 3?
* (+ 5 6) 10	How many is five plus six * ten?
* (- 6 10) 1	what is 6 - ten * one?
- (- 2 8) 5	I want to calculate 2 - eight extracted by five?
* (+ 9 5) 1	I would like to know what is nine added with 5 times 1?
/ (- 8 2) 10	I want to calculate eight minus 2 divided by ten?
/ (- 5 2) 4	I want to calculate five - 2 divided by 4?
- (+ 1 2) 3	I want to calculate one added with 2 - three?
- (* 8 1) 5	I want to calculate eight * one extracted by 5?
- (* 7 9) 10	I want to calculate seven times 9 minus 10?
/ (* 5 4) 1	I would like to know what is 5 times four / 1?
* (/ 7 8) 9	what is 7 / 8 multiplied by 9?
/ (+ 2 3) 2	I want to calculate 2 plus three divided by two?
+ (+ 5 3) 1	I want to calculate 5 plus three added with one?
* (/ 9 4) 7	I want to calculate 9 / 4 * 7?
/ (/ 6 3) 4	I want to calculate six divided by 3 / four?
+ (+ 10 4) 10	I want to calculate 10 plus four added with ten?
/ (* 3 10) 1	How many is 3 times 10 divided by one?
* (* 7 8) 10	How many is seven * eight * 10?
- (+ 4 1) 4	How many is 4 plus 1 minus four?
* (* 4 7) 2	I want to calculate four times 7 * two?
- (- 10 6) 5	what is 10 - six extracted by five?
* (* 5 9) 6	I want to calculate five * nine * 6?
- (/ 4 2) 9	I want to calculate 4 / 2 - nine?
- (+ 8 6) 1	I want to calculate 8 added with six minus 1?
- (+ 1 10) 7	I would like to know what is one plus 10 minus 7?
+ (* 7 4) 7	I would like to know what is 7 * 4 plus seven?
- (- 7 7) 3	what is 7 minus seven - 3?
+ (* 3 10) 3	I want to calculate 3 * ten plus 3?
/ (/ 2 8) 2	I would like to know what is 2 / eight divided by 2?
* (+ 6 5) 8	How many is six + five times 8?
/ (/ 8 9) 3	what is eight divided by nine divided by 3?
+ (/ 5 4) 8	How many is five divided by 4 added with 8?
+ (* 10 5) 7	I want to calculate 10 * five + 7?
/ (* 7 9) 2	How many is seven * nine divided by two?
/ (* 9 7) 8	I would like to know what is nine times seven / 8?
+ (- 2 7) 6	I would like to know what is 2 - seven plus six?
+ (/ 9 3) 4	How many is nine / 3 added with four?
+ (+ 1 9) 3	I would like to know what is one plus nine + three?
/ (* 1 6) 1	How many is one * 6 divided by 1?
/ (+ 9 5) 10	what is nine + 5 / 10?
+ (+ 3 7) 3	I would like to know what is 3 + 7 + three?
* (* 3 3) 5	I would like to know what is three multiplied by 3 * five?
- (/ 2 5) 5	I would like to know what is 2 / 5 extracted by five?
* (- 9 1) 7	I want to calculate nine minus one multiplied by 7?
+ (/ 5 4) 1	How many is five / four plus one?
+ (/ 6 8) 9	I want to calculate 6 / 8 plus nine?
- (- 8 5) 4	I want to calculate eight - five minus 4?
* (+ 3 9) 2	what is 3 added with 9 * 2?
* (* 2 9) 3	I would like to know what is two * nine times three?
* (+ 5 4) 3	How many is 5 plus 4 * three?
* (- 6 8) 10	I would like to know what is 6 extracted by eight multiplied by 10?
* (+ 7 6) 9	what is seven plus six * 9?
+ (- 8 3) 4	I would like to know what is eight extracted by 3 + 4?
+ (+ 9 10) 8	I want to calculate nine + ten plus eight?
+ (* 2 6) 4	How many is 2 * 6 plus 4?
- (/ 3 10) 7	How many is three divided by ten extracted by seven?
* (* 7 7) 3	I would like to know what is 7 multiplied by seven times 3?
+ (- 9 5) 8	I would like to know what is nine - 5 added with 8?
- (- 7 10) 4	How many is seven - 10 - 4?
- (+ 4 6) 3	what is 4 plus six minus 3?
/ (/ 8 5) 3	I want to calculate eight / 5 / 3?
+ (+ 2 5) 2	How many is 2 plus 5 added with 2?
* (/ 1 8) 5	I would like to know what is 1 / eight times 5?
- (+ 10 2) 2	what is 10 + 2 - 2?
- (+ 9 3) 3	How many is nine + 3 minus three?
/ (- 6 9) 9	I want to calculate 6 minus 9 / 9?
/ (* 7 2) 3	I want to calculate 7 multiplied by two / 3?
- (/ 6 2) 4	How many is six divided by 2 - 4?
+ (* 3 7) 5	I would like to know what is 3 times seven added with 5?
+ (/ 5 4) 8	I want to calculate five divided by four + 8?
* (* 1 9) 1	what is 1 times 9 multiplied by one?
/ (/ 7 9) 7	what is seven / 9 / 7?
- (/ 2 6) 5	what is two / six minus 5?
/ (* 9 6) 5	what is 9 * six / five?
- (+ 6 8) 8	I want to calculate six plus 8 minus eight?
/ (/ 7 1) 4	I want to calculate seven / one / 4?
- (* 6 6) 9	How many is six times 6 minus 9?
+ (* 8 8) 9	How many is 8 * 8 + 9?
+ (- 4 6) 7	How many is four extracted by six plus seven?
- (* 6 4) 2	How many is 6 * 4 - 2?
- (/ 6 2) 3	what is six / two minus 3?
- (* 7 1) 8	I want to calculate seven multiplied by one - 8?
/ (* 6 5) 7	I want to calculate six times 5 divided by seven?
- (/ 4 5) 1	I would like to know what is four / 5 - one?
+ (+ 7 7) 6	what is seven plus seven plus 6?
- (- 6 4) 4	I would like to know what is 6 - 4 - 4?
+ (* 4 1) 2	How many is 4 * 1 added with two?
* (+ 4 10) 2	I want to calculate four + 10 * 2?
- (- 6 2) 4	How many is six - 2 extracted by 4?
- (+ 1 4) 10	I want to calculate one plus four minus 10?
* (+ 9 7) 6	what is 9 plus seven multiplied by six?
- (- 5 5) 2	what is five minus five extracted by two?
+ (+ 2 10) 3	what is two added with 10 added with three?
- (* 4 7) 3	what is 4 * 7 minus three?
* (+ 4 7) 10	I want to calculate 4 + seven multiplied by ten?
/ (- 4 1) 10	I would like to know what is four - 1 divided by ten?
/ (- 7 3) 10	what is seven minus three / ten?
* (+ 4 1) 9	I would like to know what is four plus 1 multiplied by 9?
+ (* 5 8) 3	I would like to know what is 5 * eight plus 3?
* (/ 5 3) 3	I want to calculate 5 divided by 3 * 3?
/ (- 2 7) 1	I want to calculate 2 - 7 / 1?
- (* 1 3) 3	what is 1 multiplied by three extracted by three?
/ (- 2 4) 7	I want to calculate two - four divided by 7?
/ (+ 5 8) 6	How many is 5 + 8 divided by six?
/ (+ 10 6) 1	How many is ten plus six / 1?
/ (+ 2 2) 2	How many is 2 added with two divided by two?
/ (/ 10 8) 5	How many is ten / 8 divided by five?
/ (* 7 9) 7	I would like to know what is 7 times 9 divided by 7?
+ (+ 5 1) 6	I would like to know what is five added with one + 6?
* (- 9 8) 8	I want to calculate 9 minus 8 * 8?
+ (/ 6 10) 1	I would like to know what is 6 divided by 10 plus one?
* (* 8 7) 9	what is 8 times seven times nine?
- (+ 6 8) 7	I would like to know what is 6 plus 8 - seven?
+ (/ 1 6) 7	what is one divided by six added with seven?
/ (* 6 5) 5	How many is 6 * 5 / 5?
+ (/ 9 5) 10	How many is nine divided by 5 + ten?
/ (/ 3 3) 8	How many is three divided by three divided by eight?
* (- 8 4) 10	I want to calculate 8 - 4 multiplied by 10?
/ (* 3 3) 6	I want to calculate 3 times three / six?
* (/ 6 6) 9	what is 6 divided by six multiplied by nine?
* (- 4 6) 3	I want to calculate four minus six times three?
- (+ 2 7) 6	I would like to know what is 2 added with 7 extracted by six?
- (* 10 6) 3	I would like to know what is 10 * six extracted by three?
+ (- 3 4) 9	I want to calculate three minus 4 added with nine?
/ (+ 9 8) 3	How many is nine added with 8 / three?
+ (+ 4 6) 5	what is four added with six added with five?
/ (* 1 4) 2	How many is one * 4 divided by two?
* (/ 2 4) 8	I want to calculate 2 divided by 4 * eight?
- (- 7 5) 10	what is seven extracted by five extracted by 10?
+ (/ 5 2) 3	I would like to know what is 5 divided by two + 3?
+ (- 10 4) 5	I would like to know what is ten extracted by four + five?
- (* 6 10) 3	I want to calculate 6 * ten extracted by three?
+ (* 2 2) 5	I want to calculate 2 multiplied by 2 + five?
- (+ 1 2) 6	what is one plus 2 minus six?
/ (+ 8 8) 5	How many is eight + 8 divided by 5?
+ (+ 6 10) 4	How many is 6 + ten plus four?
/ (- 8 6) 8	I would like to know what is eight minus 6 / 8?
- (+ 1 7) 2	what is one + seven minus two?
/ (* 7 4) 5	what is 7 * four divided by five?
- (+ 2 1) 4	How many is 2 + 1 minus 4?
* (/ 7 1) 8	How many is seven / one * eight?
+ (* 1 8) 2	How many is 1 * eight + two?
+ (* 8 8) 6	what is eight * eight + six?
* (- 3 4) 9	I want to calculate three minus 4 * nine?
+ (+ 1 5) 7	what is one added with five + 7?
+ (- 6 9) 7	How many is 6 extracted by 9 + seven?
* (+ 7 8) 4	How many is seven plus eight times four?
- (* 3 6) 3	I want to calculate three multiplied by six extracted by 3?
+ (- 9 6) 2	I want to calculate nine extracted by six added with 2?
+ (/ 8 4) 5	I would like to know what is eight / 4 + five?
/ (- 7 5) 8	I would like to know what is seven minus 5 / eight?
- (+ 10 4) 7	what is ten + four extracted by seven?
* (+ 8 5) 4	I would like to know what is 8 added with five * four?
* (+ 1 2) 7	what is one plus 2 * seven?
+ (* 2 6) 10	I want to calculate 2 * 6 + 10?
- (/ 10 8) 9	what is 10 / eight minus 9?
+ (* 5 5) 1	what is 5 times 5 added with one?
/ (+ 5 2) 10	I would like to know what is five added with two / ten?
- (* 9 1) 9	How many is 9 multiplied by 1 - nine?
* (- 6 8) 6	I would like to know what is six - 8 * six?
/ (- 5 8) 8	I would like to know what is five - 8 divided by 8?
* (/ 8 10) 1	How many is eight divided by 10 multiplied by 1?
- (+ 9 9) 1	I would like to know what is 9 added with 9 - 1?
/ (* 7 5) 10	How many is 7 times five / ten?
- (* 4 9) 4	I want to calculate four times nine minus four?
* (* 5 3) 6	How many is 5 multiplied by 3 times 6?
+ (- 8 5) 8	what is eight extracted by 5 plus eight?
/ (+ 2 5) 3	what is 2 plus 5 divided by three?
* (/ 5 4) 1	How many is 5 / four times 1?
+ (- 2 1) 3	what is two minus 1 plus 3?
+ (* 2 2) 6	I would like to know what is two times 2 plus six?
- (/ 9 5) 5	How many is 9 divided by 5 extracted by five?
- (* 6 3) 4	what is six * 3 - 4?
* (* 8 5) 4	what is 8 times 5 * four?
/ (/ 10 3) 2	what is 10 / 3 divided by 2?
+ (- 5 9) 9	I want to calculate five extracted by nine plus 9?
* (+ 8 10) 8	I would like to know what is eight + ten * eight?
- (- 3 1) 9	How many is three extracted by 1 minus 9?
+ (- 6 3) 1	what is 6 minus three plus 1?
- (/ 10 4) 1	I would like to know what is 10 / four extracted by one?
- (/ 7 9) 4	what is seven / nine - four?
/ (/ 3 8) 8	I would like to know what is three / eight divided by 8?
/ (* 7 6) 1	what is 7 * six divided by 1?
- (* 3 10) 5	I would like to know what is 3 multiplied by ten - five?
+ (- 1 1) 10	How many is one minus 1 plus ten?
- (/ 4 7) 5	How many is 4 / 7 - five?
+ (- 7 2) 4	what is 7 minus two plus four?
+ (/ 7 3) 8	I would like to know what is 7 / three + 8?
/ (+ 3 1) 10	How many is three + one divided by ten?
/ (- 6 3) 7	How many is 6 - three divided by 7?
+ (/ 2 6) 1	what is two divided by six plus 1?
+ (/ 3 1) 3	How many is 3 / one + three?
* (/ 10 1) 5	How many is 10 divided by one * five?
+ (* 10 9) 4	How many is ten multiplied by nine + 4?
- (* 9 7) 3	what is 9 times seven - 3?
- (+ 7 1) 7	How many is seven + one - 7?
* (* 6 10) 8	what is six * ten times eight?
- (/ 7 3) 3	How many is seven divided by 3 extracted by 3?
* (- 2 3) 9	what is 2 minus three times 9?
- (* 4 7) 2	what is 4 multiplied by 7 minus two?
* (+ 7 7) 5	I would like to know what is seven added with 7 * five?
- (* 3 9) 6	I want to calculate 3 times nine extracted by 6?
/ (* 1 2) 8	I would like to know what is 1 * two / 8?
+ (* 4 9) 3	I want to calculate four multiplied by 9 + three?
/ (- 3 7) 8	I would like to know what is three extracted by seven divided by eight?
- (+ 5 8) 6	I want to calculate five + 8 extracted by six?
/ (- 10 8) 4	I want to calculate 10 - eight / 4?
+ (/ 4 1) 10	I want to calculate four divided by one plus 10?
/ (+ 8 1) 2	what is 8 + 1 / two?
- (* 2 5) 3	I would like to know what is two multiplied by 5 minus three?
- (* 1 6) 10	what is 1 times six minus ten?
/ (* 3 4) 3	I would like to know what is 3 * four divided by three?
* (+ 1 2) 2	How many is one added with two * 2?
/ (- 5 4) 8	what is 5 extracted by four / eight?
+ (* 5 10) 4	I would like to know what is five times ten plus 4?
- (- 10 1) 7	what is 10 extracted by 1 extracted by 7?
- (* 3 5) 5	I would like to know what is three * 5 minus five?
* (- 10 3) 3	what is ten extracted by 3 multiplied by 3?
/ (+ 5 1) 9	I want to calculate 5 + one / 9?
* (- 4 8) 8	How many is 4 - eight times eight?
+ (- 3 9) 9	what is 3 extracted by 9 added with 9?
/ (* 5 7) 8	How many is 5 times 7 / 8?
- (- 7 3) 2	I want to calculate 7 extracted by 3 extracted by 2?
